id,make,model,year,vin,country,owner,currentgaslevel,dailyrate
596,Chevrolet,Suburban 1500,2006,2HNYD2H25DH663231,CN,␡,1.84,$217.40
597,Nissan,Altima,2000,5BZAF0AA5FN740682,SL,,18.5,$110.96
598,BMW,5 Series,2011,1GD12XEG4FF222863,RU,-1E2,1.39,$185.06
599,Mitsubishi,Galant,1995,WAUFEAFM6DA635135,CN,"'""'",8.07,$247.19
600,Volvo,V70,2004,1G6KF54905U278459,CN,"""""",12.96,$68.28
601,Isuzu,Rodeo,2004,3D73M4EL8AG611411,BR,᠎,12.95,$145.27
602,Suzuki,Swift,1995,4T1BK3DB5AU316855,PH,',20.98,$66.46
603,Lexus,GX,2009,WAUEFAFL8EN214138,CN,␡,19.12,$111.12
604,Toyota,Tundra,2012,TRUB3AFKXC1900519,PT,１２３,0.17,$122.83
605,Chevrolet,Avalanche,2008,JN8AF5MR7DT753378,BR,test⁠test‫,3.2,$221.87
606,Mitsubishi,Excel,1988,WAUML64B33N814428,PH,｀ｨ(´∀｀∩,9.62,$168.89
607,Hummer,H1,1993,2G4GU5GX6E9297108,AR,🐵 🙈 🙉 🙊,25.91,$108.76
608,Dodge,Ram 50,1993,SCBZK25E22C630849,UA,1.00,4.69,$140.44
609,BMW,M5,2001,JN1CV6AP7BM407700,ID,Œ„´‰ˇÁ¨ˆØ∏”’,24.15,$46.71
610,Kia,Rio,2004,5N1AA0NDXEN654765,FR,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,6.88,$44.58
611,Chevrolet,Suburban 2500,2007,WAUVC58E15A394455,SY,﻿,22.64,$114.83
612,Plymouth,Prowler,1999,WBA6B8C59FD227020,PH,👩🏽,25.07,$230.20
613,Lamborghini,Gallardo,2004,WA1LMAFE7FD814491,CN,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",19.1,$67.39
614,Infiniti,G,2006,1GKS1AEC7FR594299,ET,-1.00,7.24,$111.93
615,Nissan,Pathfinder,2010,1D7RB1GP4AS605175,US,"""",5.48,$21.67
616,Lamborghini,Countach,1988,3VW1K7AJ3DM377470,CN,-1.00,16.1,$92.64
617,Mazda,CX-5,2013,5N1AT2ML6EC081924,FR,᠎,8.48,$88.29
618,Lexus,GS,2001,1G6DS5E36D0847187,LT,١٢٣,15.29,$206.52
619,Isuzu,i-Series,2006,WAULH54B51N091542,ID,ÅÍÎÏ˝ÓÔÒÚÆ☃,6.05,$36.87
620,Dodge,Ram 2500,2008,JN8AF5MR8ET808485,US,',25.52,$147.46
621,Mercedes-Benz,SLK-Class,2001,WBAFV3C56FD337467,WF,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,22.7,$225.96
622,Porsche,Boxster,1998,WAUUL78E25A609414,CN,test⁠test‫,12.56,$132.36
623,Mazda,B-Series Plus,1999,2G4WS52J011910207,ID,œ∑´®†¥¨ˆøπ“‘,4.87,$146.18
624,Mazda,Familia,1988,5J6TF2H58EL022593,CN,0/0,18.22,$123.16
625,Mazda,Navajo,1992,1G4GA5EC4BF153620,CZ,¸˛Ç◊ı˜Â¯˘¿,9.03,$37.75
626,Acura,TL,2008,SCFEBBCF3BG056019,CN,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,11.28,$167.39
627,Chevrolet,Prizm,2000,WAU2GAFC5DN546410,DK,1/0,13.16,$229.10
628,Buick,Lucerne,2007,WAUKFAFL8EA805399,CZ,œ∑´®†¥¨ˆøπ“‘,1.19,$167.65
629,Volkswagen,rio,1995,2HNYD28648H908030,ID,₀₁₂,9.35,$101.88
630,Ford,Taurus X,2008,3D73M4CL6AG317220,MQ,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,10.48,$98.65
631,Lexus,RX,2011,WBA5B1C55FG497024,PE,-1E02,5.42,$97.58
632,Mercedes-Benz,S-Class,2001,5UXZW0C52D0027296,GH,‪‪test‪,18.24,$142.61
633,Honda,Civic,1996,5N1AN0NU2AC840276,BR,₀₁₂,24.46,$42.68
634,BMW,3 Series,2004,KNAFX6A88F5691090,UG,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,7.78,$82.73
635,Cadillac,Fleetwood,1995,WAUHFAFL3DA744066,PN,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,23.39,$139.92
636,Infiniti,G,1999,5YMGZ0C59E0105467,ID,１２３,19.15,$199.63
637,Infiniti,Q,1996,5TDDK3DC7DS420004,FR,1;DROP TABLE users,12.02,$226.22
638,Suzuki,XL-7,2008,WAUGFAFC6DN707095,CN,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,20.6,$183.31
639,Chevrolet,Camaro,1977,3GYFK66N93G321376,CN,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,0.75,$34.03
640,Ford,Freestyle,2005,WBAHN03586D074230,AR,<img src=x onerror=alert('hi') />,25.99,$203.16
641,Suzuki,Samurai,1992,WAUKFAFL0CA207272,MM,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12.35,$104.60
642,Toyota,Camry,2003,WAUVVAFR9BA396846,SY,﻿,5.78,$25.72
643,Chevrolet,S10,1997,1N6AF0LX6FN142471,CN,"<>?:""{}|_+",14.44,$45.99
644,Hummer,H2,2009,3VWKP7AJ5DM142879,AF,1.00,9.4,$78.69
645,Volkswagen,Jetta,1998,1N6AA0CC4EN894230,ID,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",13.81,$35.70
646,Toyota,Tacoma,1996,KNDJT2A21D7667745,CN,👩🏽,2.43,$78.65
647,Mazda,Miata MX-5,2001,3N1BC1AP6AL600031,JP,"""""",25.8,$197.29
648,Mazda,Millenia,2002,1G6DL67A380745138,CN,⁰⁴⁵₀₁₂,20.28,$208.35
649,Suzuki,SX4,2007,WAUPEAFMXCA799250,BR,​,13.0,$157.26
650,Ford,Fusion,2006,WA1LFAFP5EA257074,UA,울란바토르,14.49,$237.03
651,Ford,Ranger,2010,1VWAH7A36DC592939,CO,"<>?:""{}|_+",15.79,$203.20
652,GMC,Savana 1500,2011,WAUDT48H94K389366,ID,1E2,4.15,$184.76
653,Volkswagen,Golf,1999,SAJWA4EC5FM764219,RU,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,2.78,$45.76
654,Subaru,Tribeca,2006,WBA3A5G50FN502850,SE,👩🏽,6.1,$122.02
655,Chevrolet,Beretta,1994,3VWKP7AJ1EM771685,ID,00˙Ɩ$-,6.74,$137.95
656,Lexus,SC,2002,JM1DE1KY8E0136265,HR,<svg><script>0<1>alert('XSS')</script>,6.99,$83.31
657,Chevrolet,Camaro,1970,3VWKX7AJ3AM084752,EE,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,22.51,$60.60
658,Audi,100,1990,4A31K2DF4BE245234,PH,"""''''""'""",11.15,$181.04
659,Cadillac,Fleetwood,1954,1G6DF8E57D0150845,IR,(╯°□°）╯︵ ┻━┻)  ,21.07,$131.56
660,Mazda,CX-9,2010,WAUDF98E05A352918,ID,⁰⁴⁵,3.13,$150.75
661,GMC,Savana 3500,2010,3G5DB03EX3S301611,CO,0/0,17.35,$93.07
662,Mitsubishi,Lancer Evolution,2003,YV4940BZ6D1274596,GR,⁦test⁧,5.73,$41.77
663,Pontiac,6000,1988,5NPEB4AC3DH644634,NO,",./;'[]\-=",5.78,$21.82
664,Kia,Spectra5,2006,1N6AD0CW7FN369763,ID,-1E2,4.42,$232.05
665,Chevrolet,Camaro,1978,1G4PR5SK1F4132102,CN,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,17.65,$23.34
666,Mazda,MX-5,2010,1G4HR54K244655417,RS,(｡◕ ∀ ◕｡),1.69,$235.26
667,Mercury,Cougar,1999,TRUTX28NX21946503,JP,() { 0; }; touch /tmp/blns.shellshock1.fail;,2.69,$171.22
668,Lincoln,Aviator,2004,1G6AE5S38E0293523,AR,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,9.56,$198.79
669,GMC,Sierra 2500,2005,1G6KD57919U613560,YE,/dev/null; touch /tmp/blns.fail ; echo,13.61,$56.92
670,Cadillac,Escalade,2006,4A31K2DF6CE903895,GR,⁦test⁧,7.28,$164.11
671,GMC,Safari,2001,3GYFNAE33CS028421,NO,⁦test⁧,3.49,$227.58
672,Chevrolet,Silverado 2500,2012,2HKRM3H50DH157064,RU,åß∂ƒ©˙∆˚¬…æ,22.26,$86.56
673,BMW,1 Series,2010,19UUA8F24EA232576,PE,"""''''""'""",3.06,$121.14
674,Ford,E-Series,2011,SCFEBBBC8AG495531,PT,"""",18.73,$164.98
675,Mitsubishi,Outlander,2007,5FRYD3H22EB791251,BR,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,0.97,$225.54
676,Plymouth,Grand Voyager,1996,SCBGR3ZA2DC391578,PL,-1,10.94,$101.40
677,Ford,Mustang,1971,JH4CL96844C980289,PL,$1.00,23.66,$198.07
678,Pontiac,G5,2009,JN1AV7ARXFM577988,ID,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,13.77,$28.55
679,Hyundai,Tucson,2012,WAUWFAFH0CN718289,CN,'',17.62,$176.33
680,Pontiac,6000,1989,WUARL48H24K678844,MX,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },4.1,$207.59
681,Hyundai,Elantra,2010,WAUVC58E94A725426,CN,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,5.87,$246.77
682,BMW,M6,2006,WAUPL68E85A395052,PL,울란바토르,0.82,$230.49
683,Audi,RS6,2003,SCFHDDAJ9CA807669,ID,¡™£¢∞§¶•ªº–≠,25.2,$171.78
684,Acura,TL,2012,3C63D3KL0CG554799,CN,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,18.42,$49.65
685,Nissan,Frontier,2006,2G61N5S34F9869356,ID,ÅÍÎÏ˝ÓÔÒÚÆ☃,11.62,$126.24
686,Chevrolet,Camaro,1967,WDDHF0EB2EB235111,RU,test⁠test‫,3.82,$243.55
687,Mitsubishi,Galant,2009,1G6DF5E52D0270969,CN,␢,18.5,$107.92
688,Subaru,Loyale,1990,4JGDA2EB4CA626102,PH,'',3.32,$121.49
689,Toyota,Avalon,1995,WAUDF78E48A616456,CO,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,5.21,$77.23
690,Volkswagen,Passat,1988,TRUUT28N911451451,CN,1E02,15.29,$93.77
691,Ford,Aerostar,1997,1D4RE3GG8BC082190,CN,田中さんにあげて下さい,24.87,$214.62
692,Subaru,Brat,1985,SCFFDAAM0EG017127,ID,הָיְתָהtestالصفحات التّحول,3.83,$108.59
693,Volvo,S60,2006,TRUTC28N411020012,SE,"'""'",10.98,$84.06
694,Ford,F250,2009,1G6DK1E35D0223549,CN,<img src=x onerror=alert('hi') />,21.82,$225.55
695,Eagle,Talon,1994,YV4902BZ7D1299949,AX,-1/2,7.97,$26.84
696,Porsche,Boxster,2006,JTDKDTB3XD1695500,FR,'',2.87,$48.49
697,Volkswagen,GTI,2010,1FTMF1CW5AF813898,AE,../../../../../../../../../../../etc/hosts,8.6,$172.53
698,Lexus,RX,1999,1N6AA0CC4FN797062,ID,`⁄€‹›ﬁﬂ‡°·‚—±,24.99,$159.07
699,Rolls-Royce,Ghost,2010,2C3CCAEG5FH092196,JP,パーティーへ行かないか,12.24,$24.13
700,Pontiac,Trans Sport,1990,19UUA65614A367831,BR,　,17.97,$243.77
701,Subaru,Outback,2012,5N1CR2MM7EC254480,CR,(╯°□°）╯︵ ┻━┻)  ,11.21,$98.60
702,Chevrolet,APV,1992,1C6RD6FK8CS956284,MZ,1E02,4.87,$222.38
703,Infiniti,Q,2003,3N1AB6AP4CL315942,CN,🐵 🙈 🙉 🙊,2.14,$127.78
704,Pontiac,Bonneville,1986,WBAFU7C57DD417447,BR,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",7.03,$121.58
705,Aston Martin,Rapide,2010,WP1AE2A21BL167045,CN,1E2,13.68,$183.15
706,Mercedes-Benz,M-Class,2004,JN8AZ2KR1ET478844,EC,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",22.63,$156.95
707,Chrysler,Town & Country,1998,JTJBARBZ9F2176416,ZA,-1.00,4.24,$111.86
708,Porsche,Cayenne,2006,1FT7W2A61EE623095,BR,`⁄€‹›ﬁﬂ‡°·‚—±,10.7,$80.69
709,Mercedes-Benz,CL-Class,1998,WAUJT68EX4A837317,ID,사회과학원 어학연구소,20.05,$199.14
710,Chevrolet,Suburban 1500,1995,JH4CU2F83EC454810,TH,nil,4.62,$244.33
711,Volkswagen,GTI,2001,WAUTFAFH3CN318813,SE,⁦test⁧,25.45,$74.37
712,Hyundai,Accent,2010,4T3BA3BB1CU498506,DO,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,19.73,$59.26
713,Kia,Rio,2003,WA1CGAFE9BD318299,CA,-1,14.29,$20.08
714,Chevrolet,G-Series G30,1992,WAUEG94F36N642791,PH,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",16.99,$209.95
715,Audi,Allroad,2005,WA1WKBFP8CA957862,ZA,₀₁₂,17.78,$246.15
716,Dodge,Ram 3500,2005,WBA3C1C58DF775342,CA, test ,8.87,$119.07
717,Kia,Sportage,2008,3D7TT2CT4BG903939,CN,-1,13.14,$71.06
718,Ford,Mustang,1964,JTHBE5C27D5457271,CN,和製漢語,13.5,$130.76
719,Cadillac,DeVille,2003,2LMHJ5AR0BB693857,PH,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,14.99,$238.55
720,Dodge,Dynasty,1993,SCFKDCEP9EG296950,SE,울란바토르,7.85,$131.69
721,Nissan,Frontier,2009,SCBDR3ZA0AC058357,CN,1,24.5,$235.36
722,Toyota,Avalon,2000,WAUFFAFL6DA311025,RU,1'; DROP TABLE users--,15.24,$105.46
723,Subaru,Legacy,2009,WDCYC3HF9CX322386,CN,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,1.49,$98.69
724,Mercedes-Benz,SL-Class,1994,YV4902BZ3D1891235,CN,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,23.19,$242.85
725,Infiniti,FX,2010,3VW1K7AJ2BM694699,SE,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,7.2,$61.95
726,Chevrolet,Venture,2002,SCFEBBBK2DG502887,BG,᠎,24.1,$23.21
727,Plymouth,Laser,1990,WAUCFAFH2FN893358,ID,١٢٣,16.75,$41.43
728,Lexus,ES,1994,WAUVT64B94N562836,CN,・(￣∀￣)・:*:,17.58,$81.89
729,Isuzu,Rodeo,2001,1LNHL9EK1FG927268,EE,🐵 🙈 🙉 🙊,0.75,$115.00
730,Toyota,Venza,2013,5FRYD3H43GB999093,CN,🐵 🙈 🙉 🙊,15.92,$40.88
731,Hyundai,Elantra,2011,1G6DX67D970778822,SV,"""'""'""''''""",5.98,$106.25
732,Ford,Bronco,1986,WAUJC68E23A645064,RU,-1E02,11.49,$162.46
733,Mercury,Mystique,1995,WA1CFAFP1DA166110,CO,⁦test⁧,12.5,$212.55
734,Mercury,Cougar,1985,WAUJC58E62A636554,CO,Œ„´‰ˇÁ¨ˆØ∏”’,22.17,$161.19
735,Maybach,62,2006,WBAAN37441N620920,PL,⁰⁴⁵,22.65,$208.71
736,Lincoln,LS,2006,WUARL48H04K836663,PL,1E2,17.63,$86.52
737,Chrysler,Crossfire,2005,1FMJK1H52DE308597,PH,␣,20.17,$205.63
738,Chevrolet,Express 3500,2010,WA1CGBFE1ED143606,BG,田中さんにあげて下さい,20.84,$234.91
739,Honda,Pilot,2009,1G4CW54K914043763,LV,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,5.4,$82.39
740,Saturn,Relay,2006,1G6DP577X60079668,UA,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,19.96,$130.92
741,Volkswagen,CC,2009,WUADUAFG2CN180768,CN,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,2.91,$235.82
742,Saab,9-3,2012,WBAVB73547P313440,BR,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,13.98,$50.20
743,Mazda,626,1995,WAUDFBFC5CN837277,FI,"""""",15.54,$229.75
744,Mercedes-Benz,E-Class,1999,TRUVD38J691483807,CA,0/0,14.56,$214.93
745,Lincoln,Continental,1997,1GYUCAEF1AR672314,AF,Ω≈ç√∫˜µ≤≥÷,0.32,$165.54
746,Dodge,Charger,2010,JH4DC43611S755372,BR,1,15.48,$25.71
747,Nissan,240SX,1994,1G4GF5E32CF397804,ID,nil,12.49,$200.70
748,Ford,F-Series,2001,1G6DH5E51C0138911,UG,"""'""'""''''""",24.98,$150.25
749,Subaru,B9 Tribeca,2007,1B3CB2HA0AD191673,PH,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,16.93,$135.78
750,Mitsubishi,GTO,1992,2FMGK5CC5AB418820,CN,åß∂ƒ©˙∆˚¬…æ,8.38,$39.64
751,Mercury,Cougar,1991,3D4PH5FV5AT636153,FR,0/0,9.47,$176.22
752,Jeep,Grand Cherokee,2004,1GT022CG9EF718603,AR,../../../../../../../../../../../etc/hosts,22.13,$32.23
753,Acura,TL,2010,WAURV78T18A321077,CN,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,11.23,$33.31
754,Mercedes-Benz,SLK-Class,2003,WAU2GAFC6EN759237,CZ,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,0.54,$98.36
755,GMC,Savana 3500,2001,JH4DC53803C732590,RU,Œ„´‰ˇÁ¨ˆØ∏”’,25.33,$240.38
756,Chevrolet,Colorado,2011,5NPDH4AE8DH479594,VN,和製漢語,6.27,$218.08
757,Ford,LTD Crown Victoria,1993,WAUEFAFL9CA180778,GB,"__ﾛ(,_,*)",11.99,$23.35
758,Hyundai,Tiburon,2008,WBY2Z2C52FV384309,PL,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,11.12,$62.71
759,Buick,Skylark,1991,WDDEJ7KB3BA178790,VN,١٢٣,19.18,$194.95
760,Chevrolet,Tahoe,2012,WAUDH94F27N683522,CZ,<svg><script>0<1>alert('XSS')</script>,17.57,$207.97
761,Dodge,Viper RT/10,1994,WBAYA8C54DD362690,BR,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",8.77,$213.97
762,Mitsubishi,Mighty Max,1993,WBASN0C54DD288988,JP,'',25.69,$127.52
763,Scion,FR-S,2013,WVGAV7AX2AW336804,EC,"__ﾛ(,_,*)",21.86,$58.86
764,Dodge,Dakota,2011,WAUCFAFH1DN322652,ID,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,0.59,$212.07
765,Audi,A6,2004,WAUDN94F38N276478,TD,Ω≈ç√∫˜µ≤≥÷,18.05,$132.37
766,Buick,Electra,1985,JTHHP5BC3F5558874,CN,1,18.6,$180.18
767,Lincoln,Town Car,1991,WAULC58E25A362766,YE,울란바토르,16.77,$188.83
768,Buick,Enclave,2009,19XFB4F29DE337445,CN,⁰⁴⁵,17.26,$229.41
769,Chevrolet,Cavalier,1992,1GYS3KEF4CR799445,RU,1/0,24.25,$37.95
770,Nissan,300ZX,1992,3D73Y4EL3BG979811,CZ,"'""'",24.04,$119.56
771,Isuzu,Rodeo,2001,2T1BURHE0EC971546,MM,1;DROP TABLE users,23.52,$179.53
772,Oldsmobile,Ciera,1996,1LNHL9DK4DG483897,CM,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,23.27,$24.94
773,Toyota,Land Cruiser,2003,JTMHY7AJ7B4338647,LR,1.00,16.65,$111.13
774,Toyota,Previa,1994,WAUJC68E45A186803,ID,-1E2,8.28,$157.36
775,Ford,Econoline E150,1993,5N1AA0NC2BN374597,UA,œ∑´®†¥¨ˆøπ“‘,0.31,$138.78
776,GMC,Savana 2500,1996,WBAEK13567C273849,FR,"""",10.81,$210.05
